,date,county,state,temp_max(C),precip_sum(mm),wind_max(km/h),min_humidity(%),max_humidity(%),mean_humidity(%)
3145,2020-08-05,camden,new jersey,26.1,0.0,14.4,46,95,69.0
3146,2020-08-06,camden,new jersey,24.6,5.4,11.2,65,92,80.0
3147,2020-08-07,camden,new jersey,23.7,5.1,13.7,71,97,86.0
3148,2020-08-08,camden,new jersey,24.3,0.2,9.1,64,98,82.0
3149,2020-08-09,camden,new jersey,25.6,0.3,10.8,58,97,79.0
3150,2020-08-10,camden,new jersey,27.2,0.5,10.2,47,98,78.0
3151,2020-08-11,camden,new jersey,27.0,0.7,14.4,60,97,81.0
3152,2020-08-12,camden,new jersey,27.2,3.3,9.9,58,97,83.0
3153,2020-08-13,camden,new jersey,24.6,7.8,6.8,75,99,91.0
3154,2020-08-14,camden,new jersey,24.9,6.5,18.7,59,99,82.0
3155,2020-08-15,camden,new jersey,23.7,0.2,14.8,50,82,72.0
3156,2020-08-16,camden,new jersey,20.8,17.0,17.3,82,95,90.0
3157,2020-08-17,camden,new jersey,22.3,2.9,12.1,59,97,78.0
3158,2020-08-18,camden,new jersey,23.7,3.1,9.9,45,98,73.0
3159,2020-08-19,camden,new jersey,23.1,0.9,7.2,60,88,77.0
3160,2020-08-20,camden,new jersey,22.0,0.0,10.9,40,98,66.0
3161,2020-08-21,camden,new jersey,23.4,0.0,12.8,54,92,74.0
3162,2020-08-22,camden,new jersey,25.5,0.4,15.0,50,94,74.0
3163,2020-08-23,camden,new jersey,24.4,1.1,9.7,69,99,85.0
3164,2020-08-24,camden,new jersey,26.0,0.1,13.5,51,99,79.0
3165,2020-08-25,camden,new jersey,27.7,0.0,20.6,48,92,69.0
3166,2020-08-26,camden,new jersey,24.5,0.0,17.0,36,68,53.0
3167,2020-08-27,camden,new jersey,27.7,0.4,25.9,48,82,64.0
3168,2020-08-28,camden,new jersey,26.9,1.2,14.1,53,88,70.0
3169,2020-08-29,camden,new jersey,24.6,35.1,19.0,83,97,91.0
3170,2020-08-30,camden,new jersey,22.8,0.0,20.3,43,75,58.0
3171,2020-08-31,camden,new jersey,21.0,1.3,10.7,49,90,71.0
3172,2020-09-01,camden,new jersey,22.6,0.2,12.9,57,92,78.0
3173,2020-09-02,camden,new jersey,24.9,3.4,14.6,65,97,83.0
3174,2020-09-03,camden,new jersey,26.0,7.2,14.5,54,96,81.0
3175,2020-09-04,camden,new jersey,25.2,0.7,11.9,51,96,77.0
3176,2020-09-05,camden,new jersey,22.2,0.0,16.0,35,70,51.0
3177,2020-09-06,camden,new jersey,22.3,0.0,12.6,41,88,64.0
3178,2020-09-07,camden,new jersey,22.2,0.0,12.8,49,95,73.0
3179,2020-09-08,camden,new jersey,22.9,0.0,8.1,50,100,78.0
3180,2020-09-09,camden,new jersey,23.1,0.0,10.8,65,99,87.0
3181,2020-09-10,camden,new jersey,23.7,48.2,9.4,73,100,94.0
3182,2020-09-11,camden,new jersey,23.3,18.4,13.7,69,99,84.0
