,date,county,state,total_cases,new_cases,future_delta7,future_delta14
2085,2020-08-27,wake,north carolina,14618,240,937,1571
2086,2020-08-28,wake,north carolina,14703,85,1013,1631
2087,2020-08-29,wake,north carolina,14902,199,840,1494
2088,2020-08-30,wake,north carolina,14950,48,792,1446
2089,2020-08-31,wake,north carolina,15173,223,646,1404
2090,2020-09-01,wake,north carolina,15330,157,701,1325
2091,2020-09-02,wake,north carolina,15451,121,624,1313
2092,2020-09-03,wake,north carolina,15555,104,634,1317
2093,2020-09-04,wake,north carolina,15716,161,618,1199
2094,2020-09-05,wake,north carolina,15742,26,654,1197
2095,2020-09-06,wake,north carolina,15742,0,654,1197
2096,2020-09-07,wake,north carolina,15819,77,758,1322
2097,2020-09-08,wake,north carolina,16031,212,624,1141
2098,2020-09-09,wake,north carolina,16075,44,689,1235
2099,2020-09-10,wake,north carolina,16189,114,683,1374
2100,2020-09-11,wake,north carolina,16334,145,581,1320
2101,2020-09-12,wake,north carolina,16396,62,543,1258
2102,2020-09-13,wake,north carolina,16396,0,543,1258
2103,2020-09-14,wake,north carolina,16577,181,564,1286
2104,2020-09-15,wake,north carolina,16655,78,517,1215
2105,2020-09-16,wake,north carolina,16764,109,546,1276
2106,2020-09-17,wake,north carolina,16872,108,691,1253
2107,2020-09-18,wake,north carolina,16915,43,739,1375
2108,2020-09-19,wake,north carolina,16939,24,715,1351
2109,2020-09-20,wake,north carolina,16939,0,715,1351
2110,2020-09-21,wake,north carolina,17141,202,722,1462
2111,2020-09-22,wake,north carolina,17172,31,698,1431
2112,2020-09-23,wake,north carolina,17310,138,730,1611
2113,2020-09-24,wake,north carolina,17563,253,562,1493
2114,2020-09-25,wake,north carolina,17654,91,636,1533
2115,2020-09-26,wake,north carolina,17654,0,636,1533
2116,2020-09-27,wake,north carolina,17654,0,636,1533
2117,2020-09-28,wake,north carolina,17863,209,740,1569
2118,2020-09-29,wake,north carolina,17870,7,733,1658
2119,2020-09-30,wake,north carolina,18040,170,881,1594
2120,2020-10-01,wake,north carolina,18125,85,931,1647
2121,2020-10-02,wake,north carolina,18290,165,897,1591
2122,2020-10-03,wake,north carolina,18290,0,897,1591
2123,2020-10-04,wake,north carolina,18290,0,897,1591
2124,2020-10-05,wake,north carolina,18603,313,829,1546
2125,2020-10-06,wake,north carolina,18603,0,925,1623
2126,2020-10-07,wake,north carolina,18921,318,713,1329
2127,2020-10-08,wake,north carolina,19056,135,716,1347
2128,2020-10-09,wake,north carolina,19187,131,694,1364
2129,2020-10-10,wake,north carolina,19187,0,694,1364
2130,2020-10-11,wake,north carolina,19187,0,694,1521
2131,2020-10-12,wake,north carolina,19432,245,717,1592
2132,2020-10-13,wake,north carolina,19528,96,698,1686
2133,2020-10-14,wake,north carolina,19634,106,616,1766
2134,2020-10-15,wake,north carolina,19772,138,631,1832
2135,2020-10-16,wake,north carolina,19881,109,670,1907
2136,2020-10-17,wake,north carolina,19881,0,670,1907
2137,2020-10-18,wake,north carolina,19881,0,827,1945
2138,2020-10-19,wake,north carolina,20149,268,875,2097
2139,2020-10-20,wake,north carolina,20226,77,988,2020
2140,2020-10-21,wake,north carolina,20250,24,1150,2367
2141,2020-10-22,wake,north carolina,20403,153,1201,2511
2142,2020-10-23,wake,north carolina,20551,148,1237,2588
2143,2020-10-24,wake,north carolina,20551,0,1237,2588
2144,2020-10-25,wake,north carolina,20708,157,1118,2431
2145,2020-10-26,wake,north carolina,21024,316,1222,2199
2146,2020-10-27,wake,north carolina,21214,190,1032,2608
2147,2020-10-28,wake,north carolina,21400,186,1217,2422
2148,2020-10-29,wake,north carolina,21604,204,1310,2576
2149,2020-10-30,wake,north carolina,21788,184,1351,2952
2150,2020-10-31,wake,north carolina,21788,0,1351,2952
2151,2020-11-01,wake,north carolina,21826,38,1313,2914
2152,2020-11-02,wake,north carolina,22246,420,977,3214
2153,2020-11-03,wake,north carolina,22246,0,1576,3495
2154,2020-11-04,wake,north carolina,22617,371,1205,3451
2155,2020-11-05,wake,north carolina,22914,297,1266,3154
2156,2020-11-06,wake,north carolina,23139,225,1601,3448
2157,2020-11-07,wake,north carolina,23139,0,1601,3448
2158,2020-11-08,wake,north carolina,23139,0,1601,3448
2159,2020-11-09,wake,north carolina,23223,84,2237,3412
2160,2020-11-10,wake,north carolina,23822,599,1919,3855
2161,2020-11-11,wake,north carolina,23822,0,2246,4142
2162,2020-11-12,wake,north carolina,24180,358,1888,3784
2163,2020-11-13,wake,north carolina,24740,560,1847,4005
