,date,county,state,total_cases,new_cases,future_delta7,future_delta14
720,2020-07-23,cook,illinois,100795,671,3896,8355
721,2020-07-24,cook,illinois,101420,625,4073,8582
722,2020-07-25,cook,illinois,101955,535,4176,8910
723,2020-07-26,cook,illinois,102583,628,4130,8864
724,2020-07-27,cook,illinois,103008,425,4239,8940
725,2020-07-28,cook,illinois,103441,433,4303,9044
726,2020-07-29,cook,illinois,104001,560,4424,9044
727,2020-07-30,cook,illinois,104691,690,4459,9105
728,2020-07-31,cook,illinois,105493,802,4509,9231
729,2020-08-01,cook,illinois,106131,638,4734,9213
730,2020-08-02,cook,illinois,106713,582,4734,9247
731,2020-08-03,cook,illinois,107247,534,4701,9373
732,2020-08-04,cook,illinois,107744,497,4741,9427
733,2020-08-05,cook,illinois,108425,681,4620,9587
734,2020-08-06,cook,illinois,109150,725,4646,9607
735,2020-08-07,cook,illinois,110002,852,4722,9642
736,2020-08-08,cook,illinois,110865,863,4479,9702
737,2020-08-09,cook,illinois,111447,582,4513,9861
738,2020-08-10,cook,illinois,111948,501,4672,9946
739,2020-08-11,cook,illinois,112485,537,4686,9938
740,2020-08-12,cook,illinois,113045,560,4967,10127
741,2020-08-13,cook,illinois,113796,751,4961,9895
742,2020-08-14,cook,illinois,114724,928,4920,9849
743,2020-08-15,cook,illinois,115344,620,5223,9780
744,2020-08-16,cook,illinois,115960,616,5348,10043
745,2020-08-17,cook,illinois,116620,660,5274,9957
746,2020-08-18,cook,illinois,117171,551,5252,9821
747,2020-08-19,cook,illinois,118012,841,5160,9604
748,2020-08-20,cook,illinois,118757,745,4934,9255
749,2020-08-21,cook,illinois,119644,887,4929,9901
750,2020-08-22,cook,illinois,120567,923,4557,10049
751,2020-08-23,cook,illinois,121308,741,4695,9770
752,2020-08-24,cook,illinois,121894,586,4683,9728
753,2020-08-25,cook,illinois,122423,529,4569,9656
754,2020-08-26,cook,illinois,123172,749,4444,9229
755,2020-08-27,cook,illinois,123691,519,4321,9275
756,2020-08-28,cook,illinois,124573,882,4972,9113
757,2020-08-29,cook,illinois,125124,551,5492,9228
758,2020-08-30,cook,illinois,126003,879,5075,8798
759,2020-08-31,cook,illinois,126577,574,5045,8697
760,2020-09-01,cook,illinois,126992,415,5087,8698
761,2020-09-02,cook,illinois,127616,624,4785,8630
762,2020-09-03,cook,illinois,128012,396,4954,8981
763,2020-09-04,cook,illinois,129545,1533,4141,8035
764,2020-09-05,cook,illinois,130616,1071,3736,7960
765,2020-09-06,cook,illinois,131078,462,3723,8010
766,2020-09-07,cook,illinois,131622,544,3652,7975
767,2020-09-08,cook,illinois,132079,457,3611,7999
768,2020-09-09,cook,illinois,132401,322,3845,8222
769,2020-09-10,cook,illinois,132966,565,4027,8464
770,2020-09-11,cook,illinois,133686,720,3894,8529
771,2020-09-12,cook,illinois,134352,666,4224,8732
772,2020-09-13,cook,illinois,134801,449,4287,8833
773,2020-09-14,cook,illinois,135274,473,4323,9041
774,2020-09-15,cook,illinois,135690,416,4388,9007
775,2020-09-16,cook,illinois,136246,556,4377,9216
776,2020-09-17,cook,illinois,136993,747,4437,9159
777,2020-09-18,cook,illinois,137580,587,4635,9337
778,2020-09-19,cook,illinois,138576,996,4508,9265
779,2020-09-20,cook,illinois,139088,512,4546,9293
780,2020-09-21,cook,illinois,139597,509,4718,9530
781,2020-09-22,cook,illinois,140078,481,4619,9510
782,2020-09-23,cook,illinois,140623,545,4839,9777
783,2020-09-24,cook,illinois,141430,807,4722,10044
784,2020-09-25,cook,illinois,142215,785,4702,10172
785,2020-09-26,cook,illinois,143084,869,4757,10430
786,2020-09-27,cook,illinois,143634,550,4747,10885
787,2020-09-28,cook,illinois,144315,681,4812,11252
788,2020-09-29,cook,illinois,144697,382,4891,12029
789,2020-09-30,cook,illinois,145462,765,4938,12111
790,2020-10-01,cook,illinois,146152,690,5322,12883
791,2020-10-02,cook,illinois,146917,765,5470,13728
792,2020-10-03,cook,illinois,147841,924,5673,14379
793,2020-10-04,cook,illinois,148381,540,6138,15531
794,2020-10-05,cook,illinois,149127,746,6440,16071
795,2020-10-06,cook,illinois,149588,461,7138,16869
796,2020-10-07,cook,illinois,150400,812,7173,17739
797,2020-10-08,cook,illinois,151474,1074,7561,18565
798,2020-10-09,cook,illinois,152387,913,8258,19050
799,2020-10-10,cook,illinois,153514,1127,8706,20303
800,2020-10-11,cook,illinois,154519,1005,9393,21067
801,2020-10-12,cook,illinois,155567,1048,9631,21898
802,2020-10-13,cook,illinois,156726,1159,9731,22106
803,2020-10-14,cook,illinois,157573,847,10566,23535
804,2020-10-15,cook,illinois,159035,1462,11004,24614
805,2020-10-16,cook,illinois,160645,1610,10792,25760
806,2020-10-17,cook,illinois,162220,1575,11597,24185
807,2020-10-18,cook,illinois,163912,1692,11674,29190
808,2020-10-19,cook,illinois,165198,1286,12267,30542
809,2020-10-20,cook,illinois,166457,1259,12375,31727
810,2020-10-21,cook,illinois,168139,1682,12969,33037
811,2020-10-22,cook,illinois,170039,1900,13610,34938
812,2020-10-23,cook,illinois,171437,1398,14968,38829
813,2020-10-24,cook,illinois,173817,2380,12588,41107
814,2020-10-25,cook,illinois,175586,1769,17516,43076
815,2020-10-26,cook,illinois,177465,1879,18275,45645
816,2020-10-27,cook,illinois,178832,1367,19352,48593
817,2020-10-28,cook,illinois,181108,2276,20068,50354
818,2020-10-29,cook,illinois,183649,2541,21328,53068
819,2020-10-30,cook,illinois,186405,2756,23861,56257
820,2020-10-31,cook,illinois,186405,0,28519,59987
821,2020-11-01,cook,illinois,193102,6697,25560,57999
822,2020-11-02,cook,illinois,195740,2638,27370,59868
823,2020-11-03,cook,illinois,198184,2444,29241,61820
824,2020-11-04,cook,illinois,201176,2992,30286,61253
825,2020-11-05,cook,illinois,204977,3801,31740,63307
826,2020-11-06,cook,illinois,210266,5289,32396,62467
827,2020-11-07,cook,illinois,214924,4658,31468,62102
828,2020-11-08,cook,illinois,218662,3738,32439,62234
829,2020-11-09,cook,illinois,223110,4448,32498,61107
830,2020-11-10,cook,illinois,227425,4315,32579,59699
831,2020-11-11,cook,illinois,231462,4037,30967,59850
832,2020-11-12,cook,illinois,236717,5255,31567,59412
833,2020-11-13,cook,illinois,242662,5945,30071,56208
834,2020-11-14,cook,illinois,246392,3730,30634,55190
835,2020-11-15,cook,illinois,251101,4709,29795,53119
836,2020-11-16,cook,illinois,255608,4507,28609,50761
837,2020-11-17,cook,illinois,260004,4396,27120,50718
838,2020-11-18,cook,illinois,262429,2425,28883,51705
839,2020-11-19,cook,illinois,268284,5855,27845,50040
840,2020-11-20,cook,illinois,272733,4449,26137,49389
841,2020-11-21,cook,illinois,277026,4293,24556,48787
842,2020-11-22,cook,illinois,280896,3870,23324,
843,2020-11-23,cook,illinois,284217,3321,22152,
844,2020-11-24,cook,illinois,287124,2907,23598,
845,2020-11-25,cook,illinois,291312,4188,22822,
846,2020-11-26,cook,illinois,296129,4817,22195,
847,2020-11-27,cook,illinois,298870,2741,23252,
848,2020-11-28,cook,illinois,301582,2712,24231,
849,2020-11-29,cook,illinois,304220,2638,,
850,2020-11-30,cook,illinois,306369,2149,,
851,2020-12-01,cook,illinois,310722,4353,,
852,2020-12-02,cook,illinois,314134,3412,,
853,2020-12-03,cook,illinois,318324,4190,,
854,2020-12-04,cook,illinois,322122,3798,,
855,2020-12-05,cook,illinois,325813,3691,,
856,2020-03-09,union,new jersey,1,1,7,188
857,2020-03-10,union,new jersey,1,0,21,245
858,2020-03-11,union,new jersey,1,0,25,261
859,2020-03-12,union,new jersey,1,0,28,431
860,2020-03-13,union,new jersey,1,0,42,518
861,2020-03-14,union,new jersey,1,0,80,741
862,2020-03-15,union,new jersey,4,3,120,892
863,2020-03-16,union,new jersey,8,4,181,1205
864,2020-03-17,union,new jersey,22,14,224,1396
865,2020-03-18,union,new jersey,26,4,236,1635
866,2020-03-19,union,new jersey,29,3,403,1981
867,2020-03-20,union,new jersey,43,14,476,2444
868,2020-03-21,union,new jersey,81,38,661,2835
869,2020-03-22,union,new jersey,124,43,772,3092
870,2020-03-23,union,new jersey,189,65,1024,3496
871,2020-03-24,union,new jersey,246,57,1172,4112
872,2020-03-25,union,new jersey,262,16,1399,4569
873,2020-03-26,union,new jersey,432,170,1578,4771
874,2020-03-27,union,new jersey,519,87,1968,5056
875,2020-03-28,union,new jersey,742,223,2174,5123
876,2020-03-29,union,new jersey,896,154,2320,5284
877,2020-03-30,union,new jersey,1213,317,2472,5423
878,2020-03-31,union,new jersey,1418,205,2940,5847
879,2020-04-01,union,new jersey,1661,243,3170,5777
880,2020-04-02,union,new jersey,2010,349,3193,5894
881,2020-04-03,union,new jersey,2487,477,3088,5942
882,2020-04-04,union,new jersey,2916,429,2949,6043
883,2020-04-05,union,new jersey,3216,300,2964,6393
884,2020-04-06,union,new jersey,3685,469,2951,6287
885,2020-04-07,union,new jersey,4358,673,2907,5931
886,2020-04-08,union,new jersey,4831,473,2607,5653
887,2020-04-09,union,new jersey,5203,372,2701,5732
888,2020-04-10,union,new jersey,5575,372,2854,5633
889,2020-04-11,union,new jersey,5865,290,3094,5658
890,2020-04-12,union,new jersey,6180,315,3429,5673
891,2020-04-13,union,new jersey,6636,456,3336,5375
892,2020-04-14,union,new jersey,7265,629,3024,4923
893,2020-04-15,union,new jersey,7438,173,3046,4942
894,2020-04-16,union,new jersey,7904,466,3031,4674
895,2020-04-17,union,new jersey,8429,525,2779,4350
896,2020-04-18,union,new jersey,8959,530,2564,4037
897,2020-04-19,union,new jersey,9609,650,2244,3616
898,2020-04-20,union,new jersey,9972,363,2039,3385
899,2020-04-21,union,new jersey,10289,317,1899,3214
900,2020-04-22,union,new jersey,10484,195,1896,3120
901,2020-04-23,union,new jersey,10935,451,1643,2846
902,2020-04-24,union,new jersey,11208,273,1571,2709
903,2020-04-25,union,new jersey,11523,315,1473,2461
904,2020-04-26,union,new jersey,11853,330,1372,2204
905,2020-04-27,union,new jersey,12011,158,1346,2153
906,2020-04-28,union,new jersey,12188,177,1315,2015
907,2020-04-29,union,new jersey,12380,192,1224,1926
908,2020-04-30,union,new jersey,12578,198,1203,1807
909,2020-05-01,union,new jersey,12779,201,1138,1713
910,2020-05-02,union,new jersey,12996,217,988,1573
911,2020-05-03,union,new jersey,13225,229,832,1477
912,2020-05-04,union,new jersey,13357,132,807,1546
913,2020-05-05,union,new jersey,13503,146,700,1528
914,2020-05-06,union,new jersey,13604,101,702,1518
915,2020-05-07,union,new jersey,13781,177,604,1395
916,2020-05-08,union,new jersey,13917,136,575,1274
917,2020-05-09,union,new jersey,13984,67,585,1202
918,2020-05-10,union,new jersey,14057,73,645,1112
919,2020-05-11,union,new jersey,14164,107,739,1054
920,2020-05-12,union,new jersey,14203,39,828,1090
921,2020-05-13,union,new jersey,14306,103,816,1018
922,2020-05-14,union,new jersey,14385,79,791,1090
923,2020-05-15,union,new jersey,14492,107,699,1118
924,2020-05-16,union,new jersey,14569,77,617,1195
925,2020-05-17,union,new jersey,14702,133,467,1119
926,2020-05-18,union,new jersey,14903,201,315,955
927,2020-05-19,union,new jersey,15031,128,262,837
928,2020-05-20,union,new jersey,15122,91,202,789
929,2020-05-21,union,new jersey,15176,54,299,777
930,2020-05-22,union,new jersey,15191,15,419,847
931,2020-05-23,union,new jersey,15186,-5,578,930
932,2020-05-24,union,new jersey,15169,-17,652,1017
933,2020-05-25,union,new jersey,15218,49,640,1023
934,2020-05-26,union,new jersey,15293,75,575,1009
935,2020-05-27,union,new jersey,15324,31,587,993
936,2020-05-28,union,new jersey,15475,151,478,862
937,2020-05-29,union,new jersey,15610,135,428,741
938,2020-05-30,union,new jersey,15764,154,352,573
939,2020-05-31,union,new jersey,15821,57,365,501
940,2020-06-01,union,new jersey,15858,37,383,450
941,2020-06-02,union,new jersey,15868,10,434,452
942,2020-06-03,union,new jersey,15911,43,406,404
943,2020-06-04,union,new jersey,15953,42,384,351
944,2020-06-05,union,new jersey,16038,85,313,253
945,2020-06-06,union,new jersey,16116,78,221,182
