,date,county,state,fips,cases,deaths,new_cases,new_deaths,case_delta_7,death_delta_7,case_delta_14,death_delta_14
170,2020-08-18,New York City,New York,,235446,23642.0,291.0,8.0,2416.0,50.0,4482.0,615.0
171,2020-08-19,New York City,New York,,235714,23643.0,268.0,1.0,2292.0,41.0,4446.0,609.0
172,2020-08-20,New York City,New York,,235985,23639.0,271.0,-4.0,2126.0,29.0,4385.0,76.0
173,2020-08-21,New York City,New York,,236269,23641.0,284.0,2.0,2046.0,26.0,4327.0,74.0
174,2020-08-22,New York City,New York,,236534,23646.0,265.0,5.0,1925.0,25.0,4263.0,71.0
175,2020-08-23,New York City,New York,,236822,23658.0,288.0,12.0,1904.0,30.0,4305.0,78.0
176,2020-08-24,New York City,New York,,237032,23662.0,210.0,4.0,1877.0,28.0,4276.0,76.0
177,2020-08-25,New York City,New York,,237263,23666.0,231.0,4.0,1817.0,24.0,4233.0,74.0
178,2020-08-26,New York City,New York,,237525,23669.0,262.0,3.0,1811.0,26.0,4103.0,67.0
179,2020-08-27,New York City,New York,,237838,23674.0,313.0,5.0,1853.0,35.0,3979.0,64.0
180,2020-08-28,New York City,New York,,238107,23680.0,269.0,6.0,1838.0,39.0,3884.0,65.0
181,2020-08-29,New York City,New York,,238385,23683.0,278.0,3.0,1851.0,37.0,3776.0,62.0
182,2020-08-30,New York City,New York,,238677,23689.0,292.0,6.0,1855.0,31.0,3759.0,61.0
183,2020-08-31,New York City,New York,,238938,23695.0,261.0,6.0,1906.0,33.0,3783.0,61.0
184,2020-09-01,New York City,New York,,239246,23703.0,308.0,8.0,1983.0,37.0,3800.0,61.0
185,2020-09-02,New York City,New York,,239512,23708.0,266.0,5.0,1987.0,39.0,3798.0,65.0
186,2020-09-03,New York City,New York,,239815,23710.0,303.0,2.0,1977.0,36.0,3830.0,71.0
187,2020-09-04,New York City,New York,,240139,23716.0,324.0,6.0,2032.0,36.0,3870.0,75.0
188,2020-09-05,New York City,New York,,240416,23721.0,277.0,5.0,2031.0,38.0,3882.0,75.0
189,2020-09-06,New York City,New York,,240711,23721.0,295.0,0.0,2034.0,32.0,3889.0,63.0
190,2020-09-07,New York City,New York,,240919,23736.0,208.0,15.0,1981.0,41.0,3887.0,74.0
191,2020-09-08,New York City,New York,,241141,23744.0,222.0,8.0,1895.0,41.0,3878.0,78.0
192,2020-09-09,New York City,New York,,241351,23741.0,210.0,-3.0,1839.0,33.0,3826.0,72.0
193,2020-09-10,New York City,New York,,241686,23741.0,335.0,0.0,1871.0,31.0,3848.0,67.0
194,2020-09-11,New York City,New York,,241936,23739.0,250.0,-2.0,1797.0,23.0,3829.0,59.0
195,2020-09-12,New York City,New York,,242242,23743.0,306.0,4.0,1826.0,22.0,3857.0,60.0
196,2020-09-13,New York City,New York,,242486,23743.0,244.0,0.0,1775.0,22.0,3809.0,54.0
197,2020-09-14,New York City,New York,,242754,23750.0,268.0,7.0,1835.0,14.0,3816.0,55.0
198,2020-09-15,New York City,New York,,243061,23758.0,307.0,8.0,1920.0,14.0,3815.0,55.0
199,2020-09-16,New York City,New York,,243314,23762.0,253.0,4.0,1963.0,21.0,3802.0,54.0
200,2020-09-17,New York City,New York,,243644,23767.0,330.0,5.0,1958.0,26.0,3829.0,57.0
